dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,10.261663,7.111043
cuda,beit_base_patch16_224,64,6.429805,4.206722
cuda,botnet26t_256,128,4.956068,2.947675
cuda,cait_m36_384,4,22.932961,16.399099
cuda,coat_lite_mini,128,6.280763,4.290802
cuda,convit_base,64,6.772317,4.709518
cuda,convmixer_768_32,32,7.799611,5.384895
cuda,convnext_base,64,8.197184,5.643348
cuda,crossvit_9_240,128,10.063223,6.863194
cuda,cspdarknet53,64,9.209052,5.428685
cuda,deit_base_distilled_patch16_224,64,5.362444,3.664809
cuda,dla102,128,11.500092,7.948655
cuda,dm_nfnet_f0,128,8.248647,5.023704
cuda,dpn107,32,15.786712,9.604758
cuda,eca_botnext26ts_256,128,5.606544,3.469911
cuda,eca_halonext26ts,128,5.738328,3.557132
cuda,ese_vovnet19b_dw,128,3.701246,2.012439
cuda,fbnetc_100,128,8.292119,4.866435
cuda,fbnetv3_b,128,14.039391,8.576764
cuda,gernet_l,128,7.441142,4.312540
cuda,ghostnet_100,128,11.540106,6.987750
cuda,gluon_inception_v3,128,10.248122,7.100604
cuda,gluon_xception65,32,13.504315,9.384496
cuda,gmixer_24_224,128,9.397041,6.593882
cuda,gmlp_s16_224,128,8.604117,6.092299
cuda,hrnet_w18,128,37.528396,25.968760
cuda,inception_v3,128,10.364969,7.167556
cuda,jx_nest_base,32,10.714855,7.578954
cuda,lcnet_050,128,4.076533,2.397673
cuda,mixer_b16_224,128,4.316783,2.894391
cuda,mixnet_l,128,12.123939,7.165826
cuda,mnasnet_100,128,6.278954,3.651318
cuda,mobilenetv2_100,128,6.555017,3.858169
cuda,mobilenetv3_large_100,128,6.895853,4.174641
cuda,mobilevit_s,64,8.701447,5.639172
cuda,nfnet_l0,128,7.984451,5.083456
cuda,pit_b_224,64,6.061384,4.153773
cuda,pnasnet5large,16,27.104001,18.298855
cuda,poolformer_m36,64,8.332120,5.566077
cuda,regnety_002,128,6.553780,3.954514
cuda,repvgg_a2,128,7.233651,4.043098
cuda,res2net101_26w_4s,64,20.420929,14.287997
cuda,res2net50_14w_8s,128,18.313439,13.039068
cuda,res2next50,128,9.954775,6.943171
cuda,resmlp_12_224,128,3.621782,2.356728
cuda,resnest101e,64,20.055352,13.651831
cuda,rexnet_100,128,8.642580,5.435819
cuda,sebotnet33ts_256,64,7.248386,4.443052
cuda,selecsls42b,128,4.555277,3.024200
cuda,spnasnet_100,128,7.817610,4.597015
cuda,swin_base_patch4_window7_224,64,14.763044,9.825455
cuda,swsl_resnext101_32x16d,32,11.313199,7.783668
cuda,tf_efficientnet_b0,128,8.153451,5.128441
cuda,tf_mixnet_l,128,12.618902,7.398680
cuda,tinynet_a,128,9.501592,6.030110
cuda,tnt_s_patch16_224,128,12.456935,8.902928
cuda,twins_pcpvt_base,64,16.936741,12.012331
cuda,visformer_small,128,4.729383,3.147912
cuda,vit_base_patch16_224,64,5.255764,3.611634
cuda,volo_d1_224,64,8.745088,6.259191
cuda,xcit_large_24_p8_224,5,20.269650,14.479745
