dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,0.8880,52.8296,6.1459,0.8995
cuda,Background_Matting,4,0.1895,984.8265,8.1797,0.8155
cuda,LearningToPaint,96,0.8177,19.3285,1.6475,0.6895
cuda,Super_SloMo,6,0.2431,483.7893,6.4433,0.9018
cuda,alexnet,128,0.9987,12.4743,0.3302,0.7450
cuda,attention_is_all_you_need_pytorch,256,0.9682,74.3434,5.8653,0.9243
cuda,dcgan,32,0.8122,3.3489,0.3863,0.7633
cuda,demucs,4,0.9996,77.5717,0.3066,0.9886
cuda,densenet121,4,0.7394,89.1233,10.9519,0.8803
cuda,dlrm,1024,0.7573,237.2052,0.5211,0.8149
cuda,drq,1,0.8559,3.4666,0.5111,0.8777
cuda,fastNLP_Bert,6,0.9744,61.2731,5.5630,0.9152
cuda,functorch_dp_cifar10,64,1.0226,11.2695,1.1356,0.8224
cuda,hf_Albert,8,0.9969,75.2676,4.9159,0.9490
cuda,hf_Bart,4,0.9712,56.7376,6.6831,0.8779
cuda,hf_Bert,4,0.9935,39.1525,5.3016,0.9011
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.9524,40.8184,2.5544,0.9042
cuda,hf_GPT2,4,0.9783,51.2681,5.2219,0.9060
cuda,hf_GPT2_large,4,0.9799,245.6791,15.9630,0.8833
cuda,hf_Longformer,2,0.6537,210.4245,19.5603,0.9961
cuda,hf_Reformer,4,1.0014,82.9006,2.4970,0.9996
cuda,hf_T5,8,0.8272,221.3388,8.0946,0.9415
cuda,hf_T5_large,2,0.8867,217.1226,32.8516,0.8673
cuda,lennard_jones,1000,0.8359,1.4406,0.2576,0.9995
cuda,mnasnet1_0,32,0.7665,37.1108,3.8037,0.8983
cuda,mobilenet_v2,96,0.8399,84.9933,4.0982,0.7624
cuda,mobilenet_v2_quantized_qat,96,0.8202,179.8198,9.4268,0.8296
cuda,mobilenet_v3_large,32,0.8270,38.4655,4.1669,0.8562
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.9627,8.8586,0.3485,0.5598
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9644,17.3768,1.6512,0.9149
cuda,pytorch_stargan,16,0.9043,26.7690,1.9574,1.0179
cuda,pytorch_struct,200,0.7473,5.0098,0.6484,0.5079
cuda,pytorch_unet,1,0.2731,214.1085,2.9108,0.8222
cuda,resnet152,32,0.7980,113.7309,11.7721,0.9151
cuda,resnet18,16,0.7968,15.4970,1.5967,0.7791
cuda,resnet50,32,0.8355,46.1854,4.0191,0.8718
cuda,resnet50_quantized_qat,32,0.7640,122.6283,9.0908,0.9150
cuda,resnext50_32x4d,8,0.7622,34.9559,3.9924,0.8668
cuda,shufflenet_v2_x1_0,128,0.7792,47.4941,4.4273,0.8943
cuda,soft_actor_critic,256,0.7719,1.3657,0.3164,0.9638
cuda,speech_transformer,32,0.8894,69.6143,6.8601,0.9756
cuda,squeezenet1_1,32,1.0152,12.4413,0.6658,0.8159
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0.7773,176.9134,24.7201,0.8227
cuda,timm_efficientnet,32,0.7074,61.0789,5.8407,0.7666
cuda,timm_nfnet,128,0.9994,206.0182,6.2755,0.8936
cuda,timm_regnet,32,0.8841,111.0834,6.7803,0.8614
cuda,timm_resnest,32,0.8756,36.1194,2.2010,0.8799
cuda,timm_vision_transformer,8,0.9214,25.3739,3.5324,0.8835
cuda,timm_vision_transformer_large,8,0.9938,198.1645,11.5181,0.8415
cuda,timm_vovnet,32,0.8220,46.8940,3.8719,0.7602
cuda,tts_angular,64,0.9545,9.8050,0.2243,0.9884
cuda,vgg16,64,0.9986,106.5550,0.4635,0.6638
cuda,yolov3,16,0.8767,116.8095,6.1650,0.8439
