dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.2567,180.2272,37.5342,1.0644
cuda,beit_base_patch16_224,64,1.1062,115.7188,19.1988,1.2876
cuda,botnet26t_256,128,1.2193,123.0630,34.1537,0.9960
cuda,cait_m36_384,4,1.2324,174.2799,58.2297,1.2872
cuda,coat_lite_mini,128,1.3464,142.2167,56.6822,1.3511
cuda,convit_base,64,1.2268,159.7689,26.4747,0.8990
cuda,convmixer_768_32,32,1.0552,346.1060,24.2765,0.9986
cuda,convnext_base,64,1.0355,253.5306,40.4710,1.4305
cuda,crossvit_9_240,128,1.2972,75.8659,34.2453,0.9502
cuda,cspdarknet53,64,1.1885,105.2995,24.5718,1.1116
cuda,deit_base_distilled_patch16_224,64,1.0824,111.0038,18.0118,1.3341
cuda,dla102,128,1.3230,203.6028,35.1978,1.0436
cuda,dm_nfnet_f0,128,1.3842,148.2872,25.5446,1.2944
cuda,dpn107,32,1.1769,155.1066,44.5982,0.9890
cuda,eca_botnext26ts_256,128,1.1979,134.4122,36.9738,1.2978
cuda,eca_halonext26ts,128,1.1906,140.1796,51.7313,1.2733
cuda,ese_vovnet19b_dw,128,1.2081,80.7783,13.1135,1.0939
cuda,fbnetc_100,128,1.2169,98.1037,23.9634,0.9979
cuda,fbnetv3_b,128,1.2600,124.7764,39.2102,1.0539
cuda,gernet_l,128,1.0422,154.0660,19.1544,0.9937
cuda,ghostnet_100,128,1.6540,69.5323,36.7158,1.1300
cuda,gluon_inception_v3,128,1.2582,179.8154,37.0443,1.0643
cuda,gluon_xception65,32,1.0397,175.3333,40.2426,0.9885
cuda,gmixer_24_224,128,1.2710,115.2267,29.3340,1.6540
cuda,gmlp_s16_224,128,1.2502,121.7472,32.7367,1.0162
cuda,hrnet_w18,128,1.2832,325.6791,133.4187,1.0140
cuda,inception_v3,128,1.2584,179.8462,36.7904,1.0642
cuda,jx_nest_base,32,1.2526,96.5132,50.2375,1.2866
cuda,lcnet_050,128,1.4957,24.5466,13.9430,0.9682
cuda,mixer_b16_224,128,1.0831,146.8119,18.5651,1.5815
cuda,mixnet_l,128,1.1442,213.1564,30.9137,1.0620
cuda,mnasnet_100,128,1.2371,77.1904,19.6840,0.9925
cuda,mobilenetv2_100,128,1.2871,73.3916,20.6632,1.2846
cuda,mobilenetv3_large_100,128,1.3021,63.5210,21.2875,1.0428
cuda,mobilevit_s,64,1.1343,101.3577,77.9789,1.3620
cuda,nfnet_l0,128,1.3333,131.3953,22.1544,1.4037
cuda,pit_b_224,64,1.1801,133.7776,18.2506,1.2807
cuda,pnasnet5large,16,1.1698,247.4027,81.3050,1.3532
cuda,poolformer_m36,64,1.1048,157.7394,41.5266,1.5032
cuda,regnety_002,128,1.2293,42.0347,18.7769,1.0421
cuda,repvgg_a2,128,1.1231,109.0812,19.3113,0.9911
cuda,res2net101_26w_4s,64,1.1240,135.0152,64.7859,1.0150
cuda,res2net50_14w_8s,128,1.2618,182.2954,58.6180,1.0214
cuda,res2next50,128,1.2134,170.1400,32.0576,1.0161
cuda,resmlp_12_224,128,1.0004,70.9868,18.4703,1.2913
cuda,resnest101e,64,1.2047,190.5184,63.4794,1.1072
cuda,rexnet_100,128,1.1714,99.2318,28.4195,1.4769
cuda,sebotnet33ts_256,64,1.2417,90.0931,44.5776,1.1792
cuda,selecsls42b,128,1.2087,73.8620,17.3155,1.0112
cuda,spnasnet_100,128,1.2088,84.4051,23.3954,0.9936
cuda,swin_base_patch4_window7_224,64,1.1285,209.5824,72.9579,1.3345
cuda,swsl_resnext101_32x16d,32,1.0402,208.6905,33.4370,0.9950
cuda,tf_efficientnet_b0,128,1.2260,106.7853,23.9811,1.3839
cuda,tf_mixnet_l,128,1.1559,219.3721,33.3290,1.1457
cuda,tinynet_a,128,1.1642,91.3589,28.1768,1.5880
cuda,tnt_s_patch16_224,128,1.5089,311.9930,32.8128,0.8632
cuda,twins_pcpvt_base,64,1.1541,118.8277,75.8476,1.5609
cuda,visformer_small,128,0.9774,130.9106,20.3602,1.3632
cuda,vit_base_patch16_224,64,1.0765,110.8069,17.3464,1.3407
cuda,volo_d1_224,64,1.3589,112.8642,33.5969,1.2566
cuda,xcit_large_24_p8_224,5,1.2919,104.3256,71.0507,1.2735
