dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,8.440078,6.679746
cuda,Background_Matting,4,5.565983,4.487012
cuda,LearningToPaint,96,2.220381,1.693347
cuda,Super_SloMo,6,6.062570,4.810708
cuda,alexnet,128,0.483353,0.289206
cuda,attention_is_all_you_need_pytorch,256,8.250136,6.726632
cuda,dcgan,32,0.484656,0.284051
cuda,demucs,4,0.385339
cuda,densenet121,4,13.639364,11.254654
cuda,dlrm,1024,0.723284,0.415302
cuda,drq,1,0.690978,0.344250
cuda,fastNLP_Bert,6,7.851997,6.028514
cuda,functorch_dp_cifar10,64,1.524868,1.174657
cuda,hf_Albert,8,7.437751,5.769921
cuda,hf_Bart,4,9.868586,7.730234
cuda,hf_Bert,4,7.715539,5.816491
cuda,hf_Bert_large,4,15.158367,11.568253
cuda,hf_DistilBert,8,3.769196,2.873266
cuda,hf_GPT2,4,7.611676,5.675442
cuda,hf_GPT2_large,4,21.724037,16.155279
cuda,hf_Longformer,2,22.619297,15.750808
cuda,hf_Reformer,4,3.150919,1.323235
cuda,hf_T5,8,9.501337,6.995541
cuda,hf_T5_large,2,40.397193,29.160810
cuda,lennard_jones,1000,0.368253,0.199121
cuda,mnasnet1_0,32,4.945709,3.973699
cuda,mobilenet_v2,96,5.241577,4.221495
cuda,mobilenet_v3_large,32,5.781075,4.690727
cuda,nvidia_deeprecommender,256,0.503807,0.277483
cuda,pytorch_CycleGAN_and_pix2pix,1,2.280510,1.792290
cuda,pytorch_stargan,16,2.470751,1.980185
cuda,pytorch_struct,200,0.939234,0.638825
cuda,pytorch_unet,1,2.639969,2.085091
cuda,resnet152,32,15.771589,12.928497
cuda,resnet18,16,2.096278,1.601268
cuda,resnet50,32,5.223901,4.183955
cuda,resnext50_32x4d,8,5.248483,4.198280
cuda,shufflenet_v2_x1_0,128,5.773435,4.613816
cuda,soft_actor_critic,256,0.401892,0.160035
cuda,speech_transformer,32,10.366759,8.145166
cuda,squeezenet1_1,32,1.024463,0.732351
cuda,timm_efficientdet,1,30.405436,20.467096
cuda,timm_efficientnet,32,7.422573,5.431428
cuda,timm_nfnet,128,7.656273,5.484071
cuda,timm_regnet,32,8.925201,6.388901
cuda,timm_resnest,32,2.859772,2.160039
cuda,timm_vision_transformer,8,5.037363,3.985510
cuda,timm_vision_transformer_large,8,18.260516,14.859294
cuda,timm_vovnet,32,4.792046,3.233152
cuda,tts_angular,64,0.256767,0.044858
cuda,vgg16,64,0.728147,0.498749
cuda,yolov3,16,7.896795,6.079465
