dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,14.144078,12.726662,6.420235,2.311566,8.569926,3.310602,1.352589,0.267867,8.151864,4.557996
cuda,Background_Matting,4,14.069323,13.215691,7.009209,3.015367,10.685618,5.426265,2.682768,0.261121,6.787113
cuda,LearningToPaint,96,6.403449,6.037602,3.528552,1.323778,4.132379,1.447957,0.640190,0.088921,1.964334
cuda,Super_SloMo,6,19.196063,18.088773,12.256049,5.661883,12.402659,6.937338,2.657461,0.117929,5.886754
cuda,alexnet,128,2.576392,2.494574,2.212304,0.416393,3.509803,1.190741,0.538502,0.012945,1.718867
cuda,attention_is_all_you_need_pytorch,256,37.366931,36.140596,29.395974,2.360323,31.865531,4.229177,1.647392,0.299778,9.038102,4.936819
cuda,dcgan,32,2.025161,1.939537,1.512981,0.208104,2.096804,0.247714,0.092879,0.011804,0.798995
cuda,demucs,4,0.230509
cuda,densenet121,4,37.602142,35.511810,18.958214,8.249759,26.640586,15.306521,5.917944,0.833518,16.181676
cuda,dlrm,1024,1.639942,1.472326,1.078349,0.308857,2.111503,0.437752,0.139422,0.013943,1.349503
cuda,drq,1,2.310476,2.135323,1.779459,0.123932,2.842093,0.142531,0.061203,0.013059,1.193877
cuda,fastNLP_Bert,6,15.697726,14.203984,8.441455,1.863458,12.082006,3.578603,1.409964,0.245492,4.239511,5.594509
cuda,functorch_dp_cifar10,64,5.803828,5.585009,3.350029,1.456120,6.003366,2.368468,0.823175,0.059986,4.149018,3.350555
cuda,hf_Albert,8,10.105098,8.836080,3.554615,1.831221,7.111064,3.310577,1.121859,0.139946,5.463177,2.877061
cuda,hf_Bart,4,19.374130,17.669807,9.871190,2.783591,14.248441,4.915537,2.080229,0.357950,3.394016,7.279996
cuda,hf_Bert,4,13.203419,11.721159,5.996764,1.828825,9.105968,2.863157,1.818205,0.244933,5.022984,0.373657
