dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,10.481094,9.120080,3.446637,1.777303,7.566602,3.088631,1.039449,0.138290,1.448482,7.427261,0.894196
cuda,AlbertForQuestionAnswering,4,10.545743,9.169228,3.424191,1.755012,7.769736,3.066922,1.022754,0.136232,1.101016,7.280317,0.510819
cuda,BartForCausalLM,4,12.972827,11.664475,5.784874,1.741572,9.197996,2.913427,1.243531,0.237637,1.345275,1.531164,6.584764
cuda,BartForConditionalGeneration,2,33.840130,30.263190,15.170780,4.631842,20.856399,7.994632,3.063810,0.884190,1.087002,1.225122,11.922800
cuda,BertForMaskedLM,16,13.724500,11.867007,5.801085,2.008597,8.676085,2.695883,1.781469,0.250901,2.035617,7.017273,1.430704
cuda,BertForQuestionAnswering,16,13.490570,11.712986,5.818483,1.779953,8.272278,2.643151,1.539552,0.248593,1.486945,6.003449,1.016383
cuda,BlenderbotSmallForCausalLM,64,8.253923,7.333422,3.258023,1.356266,5.460601,1.875647,0.863992,0.147978,2.401099,6.020172,2.069463
cuda,BlenderbotSmallForConditionalGeneration,64,20.647216,18.078649,7.920977,2.885494,12.186157,4.996491,2.088778,0.500087,2.062326,1.960063,9.364805
cuda,CamemBert,16,13.726125,11.866157,5.650301,1.796596,8.379296,2.690140,1.565595,0.250864,0.823960,5.441379,0.343291
cuda,DebertaForMaskedLM,4,26.268390,20.571972,12.403429,2.622337,15.783546,3.942983,1.955496,0.328339,18.090527,0.853033,24.343279
cuda,DebertaForQuestionAnswering,8,26.141853,20.368729,12.201048,2.567916,15.807956,3.890654,1.923021,0.326531,19.492814,1.787667,25.916526
cuda,DebertaV2ForMaskedLM,1,36.282183,27.033244,14.217473,2.923573,17.924097,4.247933,2.205130,0.548417,42.374051,1.478113,49.403836
cuda,DebertaV2ForQuestionAnswering,2,36.182888,26.828339,13.909834,3.469531,18.568418,5.257998,2.765924,0.557303,43.100973,0.486108,51.634670
cuda,DistilBertForMaskedLM,128,6.835619,6.157931,2.888463,0.958982,4.709713,1.433635,0.676609,0.111380,1.512692,4.340578,1.182139
cuda,DistilBertForQuestionAnswering,256,7.282916,6.591897,3.200762,0.953888,5.109097,1.651992,0.680424,0.107005,0.930483,3.839048,0.573103
cuda,DistillGPT2,16,8.980340,8.123077,4.954635,1.022156,6.707558,1.764771,0.673772,0.096658,2.130096,2.692850,4.951786
cuda,ElectraForCausalLM,32,15.387465,13.583331,7.624617,1.966832,10.852172,2.813156,1.315049,0.249599,3.535378,2.904926,8.824662
cuda,ElectraForQuestionAnswering,64,13.469851,11.620651,5.636413,1.802515,8.144269,2.687735,1.558183,0.251224,1.825641,6.449376,1.312277
cuda,GPT2ForSequenceClassification,4,12.061575,10.228052,4.691167,1.929815,6.849204,2.753069,1.201883,0.218424,1.380019,5.554170,1.012643
