dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,13.376356,11.665331,4.128913,2.139789,8.743115,3.257974,1.140904,0.144907,6.839676,0.825593
cuda,AlbertForQuestionAnswering,4,13.392167,11.689377,4.139849,2.110135,8.767734,3.243431,1.126978,0.142411,6.822339,0.432279
cuda,AllenaiLongformerBase,4,57.069953,49.476475,29.319809,7.581151,36.204446,16.138319,5.487967,0.420823,0.656818,14.784276
cuda,BartForCausalLM,4,15.619727,13.820837,6.214720,2.034677,9.694166,3.417054,1.467400,0.282919,2.184612,5.605078
cuda,BartForConditionalGeneration,2,39.582757,34.991544,14.834405,6.522897,20.818268,9.032146,3.730859,1.127216,1.149800,12.749241
cuda,BertForMaskedLM,16,15.410173,13.306333,5.151332,2.212782,8.347477,3.624830,1.498982,0.286601,5.505413,1.439973
cuda,BertForQuestionAnswering,16,15.337144,13.247054,5.096261,2.185342,8.188468,3.559675,1.477621,0.278399,5.372612,1.005269
cuda,BlenderbotForCausalLM,4,27.333361,23.902317,8.646056,4.880460,15.108055,7.157853,2.945654,0.840330,11.527249,3.664579
cuda,BlenderbotSmallForCausalLM,64,10.104277,8.954800,3.550543,1.600899,5.962293,2.055537,1.004664,0.172183,4.076844,2.530217
cuda,BlenderbotSmallForConditionalGeneration,64,26.231152,23.119267,9.789041,3.888076,14.024725,5.666958,2.527455,0.603470,1.757487,8.284827
cuda,CamemBert,16,15.557559,13.369112,5.159760,2.243989,8.349343,3.603083,1.494164,0.287481,5.530422,0.337029
cuda,DebertaForMaskedLM,4,30.571817,24.504347,14.328195,3.135421,18.531599,5.203971,2.256414,0.359596,0.940471,7.569357
cuda,DebertaForQuestionAnswering,8,30.642377,24.483205,14.700972,3.354033,18.519230,5.133529,2.241258,0.352145,1.759212,7.398040
cuda,DebertaV2ForMaskedLM,1,44.464224,34.238388,17.429547,3.988562,22.057443,6.117980,3.353701,0.625824,1.505739,8.986017
cuda,DebertaV2ForQuestionAnswering,2,44.283216,33.247123,16.880298,4.580345,22.098745,7.588455,3.454948,0.626677,0.576550,10.165934
cuda,DistilBertForMaskedLM,128,8.546261,7.691216,3.385086,1.162168,5.593066,1.877344,0.800845,0.121225,3.420099,1.138000
cuda,DistilBertForQuestionAnswering,256,8.757460,7.863728,3.426217,1.178087,5.871188,1.999402,0.821944,0.119989,3.675116,0.553258
cuda,DistillGPT2,16,9.342607,8.330361,4.298548,1.292104,6.761829,2.166000,0.788630,0.108911,1.854541,3.803044
cuda,ElectraForCausalLM,32,17.581616,15.380713,7.034889,2.521172,12.797771,3.541119,1.577081,0.286860,2.963781,8.385265
cuda,ElectraForQuestionAnswering,64,15.644032,13.526128,5.242848,2.509928,10.355065,3.427645,1.514933,0.287623,7.718802,1.712424
cuda,GPT2ForSequenceClassification,4,14.846740,12.752100,5.396365,2.508520,8.383381,3.305344,1.443909,0.248564,5.791742,1.247332
cuda,LayoutLMForMaskedLM,16,17.921299,15.558247,7.161609,2.541159,10.195352,3.497053,1.541451,0.294043,1.832841,5.672957
cuda,LayoutLMForSequenceClassification,16,17.705529,15.365380,7.047575,2.247076,11.981685,4.454884,1.735161,0.284950,5.909508,7.276971
cuda,M2M100ForConditionalGeneration,16,37.430423,32.696712,13.107719,5.496418,21.964593,8.340583,4.237736,0.842780,11.494849,14.594987
cuda,MBartForCausalLM,4,16.492981,14.661107,6.872512,2.217549,10.669718,3.699412,1.549870,0.313593,2.180751,6.109919
cuda,MBartForConditionalGeneration,2,38.055261,33.547325,13.469731,6.731698,20.658846,9.523455,3.874267,1.231058,0.566574,14.168020
cuda,MT5ForConditionalGeneration,16,27.159412,23.324124,9.521319,3.922022,15.604168,7.003667,2.258823,0.485983,20.222041,10.183186
cuda,MegatronBertForCausalLM,4,29.679988,25.654617,9.455943,5.591514,15.243661,7.494192,3.038288,0.825336,11.575307,0.410459
