dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,12.152517,8.292635
cuda,beit_base_patch16_224,64,7.392318,4.700024
cuda,botnet26t_256,128,5.522362,3.419842
cuda,cait_m36_384,4,26.233318,16.271839
cuda,coat_lite_mini,128,6.608616,4.369331
cuda,convit_base,64,7.494122,4.935810
cuda,convmixer_768_32,32,6.615136,5.218736
cuda,convnext_base,64,9.956780,5.671284
cuda,crossvit_9_240,128,10.501999,6.941681
cuda,cspdarknet53,64,9.948516,5.910085
cuda,deit_base_distilled_patch16_224,64,5.675893,3.673958
cuda,dla102,128,14.040076,9.383940
cuda,dm_nfnet_f0,128,9.754905,5.788748
cuda,dpn107,32,18.302160,11.522756
cuda,eca_botnext26ts_256,128,6.357200,4.074095
cuda,eca_halonext26ts,128,6.408747,4.120928
cuda,ese_vovnet19b_dw,128,4.010799,2.271146
cuda,fbnetc_100,128,9.141761,5.375139
cuda,fbnetv3_b,128,16.070807,9.823521
cuda,gernet_l,128,8.317290,4.817610
cuda,ghostnet_100,128,10.957626,7.511718
cuda,gluon_inception_v3,128,12.383773,8.485006
cuda,gluon_xception65,32,16.821439,11.142434
cuda,gmixer_24_224,128,10.086061,6.524026
cuda,gmlp_s16_224,128,9.583356,6.003875
cuda,hrnet_w18,128,34.102381,27.164088
cuda,inception_v3,128,12.201621,8.323893
cuda,jx_nest_base,32,12.200350,7.853528
cuda,lcnet_050,128,4.664213,2.819620
cuda,mixer_b16_224,128,4.645980,2.909210
cuda,mixnet_l,128,10.760163,7.384778
cuda,mnasnet_100,128,7.319096,4.388148
cuda,mobilenetv2_100,128,7.537696,4.599924
cuda,mobilenetv3_large_100,128,7.673243,4.679585
cuda,mobilevit_s,64,9.573365,5.954245
cuda,nfnet_l0,128,9.482348,5.887784
cuda,pit_b_224,64,6.540243,4.149636
cuda,pnasnet5large,16,23.976290,18.624918
cuda,poolformer_m36,64,11.286916,6.535897
cuda,regnety_002,128,7.640428,4.595019
cuda,repvgg_a2,128,8.244864,4.947540
cuda,res2net101_26w_4s,64,25.174098,17.382651
cuda,res2net50_14w_8s,128,22.813326,16.067770
cuda,res2next50,128,12.096624,8.435556
cuda,resmlp_12_224,128,4.125585,2.326403
cuda,resnest101e,64,23.273779,15.107743
cuda,rexnet_100,128,10.154504,6.263830
cuda,sebotnet33ts_256,64,6.514713,4.616781
cuda,selecsls42b,128,5.468103,3.551721
cuda,spnasnet_100,128,9.044077,5.316810
cuda,swin_base_patch4_window7_224,64,15.592066,10.143588
cuda,swsl_resnext101_32x16d,32,13.724159,9.126680
cuda,tf_efficientnet_b0,128,9.361389,5.666676
cuda,tf_mixnet_l,128,11.296660,7.532956
cuda,tinynet_a,128,10.942865,6.824592
cuda,tnt_s_patch16_224,128,13.651738,8.909744
cuda,twins_pcpvt_base,64,18.220574,11.516638
cuda,visformer_small,128,5.590255,3.729161
cuda,vit_base_patch16_224,64,5.661847,3.661753
cuda,volo_d1_224,64,9.784005,6.532588
cuda,xcit_large_24_p8_224,5,23.968034,15.123658
