dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,11.356971,9.768235,3.837204,1.849882,8.073887,3.046047,1.062567,0.144875,1.121843,7.290829,0.510600
cuda,BartForCausalLM,4,16.599066,13.363814,6.881531,2.174643,9.802072,3.484358,1.469784,0.277494,1.470600,1.500320,6.671935
cuda,BartForConditionalGeneration,2,42.615590,34.719266,17.771155,7.041036,21.446005,9.024855,3.695217,1.019416,1.026543,1.181790,12.017487
cuda,BertForMaskedLM,16,16.007647,12.772287,5.788850,2.507266,8.272102,3.481248,1.506063,0.279788,1.941486,7.042640,1.430362
cuda,BertForQuestionAnswering,16,16.177375,12.959924,5.929630,2.510695,8.444283,3.521607,1.522594,0.277496,1.546116,6.682289,1.013592
cuda,BlenderbotSmallForCausalLM,64,10.870298,8.878657,4.299354,1.620386,6.263768,2.133054,1.020990,0.172786,2.420943,6.078207,2.069659
cuda,BlenderbotSmallForConditionalGeneration,64,27.524936,22.324890,10.879490,3.752261,14.308532,6.278101,2.494654,0.556564,2.017901,1.806190,9.381834
cuda,CamemBert,16,16.002370,12.740283,5.746669,2.490582,8.212915,3.502214,1.501639,0.278375,0.870679,5.938515,0.345384
cuda,DebertaForMaskedLM,4,28.741100,22.123452,13.422070,2.956843,16.638277,4.249441,2.114594,0.360825,14.953121,0.855314,21.388232
cuda,DebertaForQuestionAnswering,8,28.349164,21.752853,13.053744,2.973733,16.395330,4.287413,2.129087,0.362396,16.233602,1.763666,22.809815
cuda,DebertaV2ForMaskedLM,1,43.112883,31.216622,17.048377,4.158453,19.629052,5.186339,2.652239,0.634623,33.237163,1.541849,40.407482
cuda,DistilBertForMaskedLM,128,8.884841,7.478783,3.693667,1.196178,5.520818,1.699454,0.816259,0.128726,1.492033,4.574023,1.180224
cuda,DistilBertForQuestionAnswering,256,8.977957,7.569149,3.753904,1.180893,5.732315,1.934885,0.817031,0.124743,0.922677,4.139331,0.576180
cuda,DistillGPT2,16,11.111151,9.721806,6.206524,1.217020,8.133585,1.709791,0.797865,0.110383,1.593835,2.144772,4.788792
cuda,ElectraForCausalLM,32,18.024994,14.748351,7.639974,2.530900,13.237407,3.744182,1.608094,0.283527,3.610383,3.025891,11.854386
cuda,ElectraForQuestionAnswering,64,16.179077,12.993165,5.997776,2.529330,10.732982,3.539819,1.519429,0.285404,2.306003,9.684083,1.739382
cuda,GPT2ForSequenceClassification,4,17.167165,14.255159,7.885077,2.341454,10.545934,3.562280,1.438946,0.235449,1.330818,1.488923,6.432367
cuda,GoogleFnet,16,12.166169,10.433256,7.039823,1.467364,10.551121,1.824020,0.786310,0.128150,3.857571,1.750128,8.915827
cuda,LayoutLMForMaskedLM,16,18.434666,14.915760,7.733859,2.396930,10.387637,3.603064,1.552306,0.289979,2.021077,1.810120,7.377316
cuda,LayoutLMForSequenceClassification,16,19.027197,15.517114,8.341358,2.426990,12.696035,4.522158,1.820818,0.289060,6.551328,6.404804,13.640991
cuda,M2M100ForConditionalGeneration,16,41.081313,33.274006,15.883575,5.627488,21.500444,8.403747,3.832602,0.781759,3.641399,8.480028,15.418898
cuda,MBartForCausalLM,4,18.412586,15.429736,8.736694,2.221076,11.674139,3.587134,1.505569,0.277193,1.382730,1.327491,6.647481
cuda,MBartForConditionalGeneration,2,41.865866,34.033392,16.845322,7.120861,20.507602,9.179828,3.778261,1.036109,0.934974,0.518512,11.995345
cuda,MT5ForConditionalGeneration,16,27.446878,22.485493,10.127101,3.784207,15.220991,6.110058,2.107132,0.501160,3.930606,20.430137,12.995740
cuda,MegatronBertForCausalLM,4,33.189237,26.409455,11.817880,5.144894,15.320061,7.748770,3.024792,0.707555,1.214321,10.350850,0.382973
cuda,MegatronBertForQuestionAnswering,8,31.892738,25.453221,11.752102,5.013576,15.541506,7.656424,2.968892,0.704311,1.631349,10.916164,0.770576
cuda,MobileBertForMaskedLM,64,35.767655,28.614428,7.444254,5.830499,19.484103,9.573451,4.340942,2.453562,3.124922,21.326688,1.730023
cuda,MobileBertForQuestionAnswering,128,36.075358,28.857286,7.399964,5.809189,19.375305,9.519595,4.331795,2.472538,2.765477,20.885797,1.006927
cuda,OPTForCausalLM,2,17.029805,14.236757,7.591994,2.223592,10.333631,3.994574,1.570871,0.278390,1.470527,1.705743,6.538818
cuda,PLBartForCausalLM,8,10.512221,8.958982,5.255645,1.175483,7.404709,1.753995,0.827508,0.140923,1.091515,1.235429,4.473204
cuda,PLBartForConditionalGeneration,4,22.022264,18.148049,9.010638,3.100796,12.741620,5.045424,2.047112,0.418545,1.670996,1.674873,8.650424
cuda,PegasusForCausalLM,32,17.094734,14.028681,7.466168,2.187569,10.791443,3.528270,1.517952,0.280104,1.764715,1.599702,7.386385
cuda,PegasusForConditionalGeneration,32,30.575916,27.033881,11.521578,4.452309,17.111519,7.300589,3.155229,0.701310,2.005643,0.676260,12.274297
cuda,RobertaForCausalLM,16,16.880926,13.654814,6.607379,2.534661,8.798141,3.572224,1.559613,0.285244,0.870392,0.721486,5.709682
cuda,RobertaForQuestionAnswering,16,16.423096,13.112080,6.001671,2.544224,8.208273,3.570054,1.529931,0.278801,0.595087,5.457795
cuda,Speech2Text2ForCausalLM,256,10.514670,8.939935,5.662401,1.017194,8.363049,1.553181,0.938805,0.128604,1.297457,1.108739,5.070908
cuda,T5ForConditionalGeneration,4,20.111032,16.596220,7.946367,2.417462,11.801310,4.507012,1.541830,0.324308,2.384194,5.769105,8.786639
cuda,T5Small,4,20.108950,16.586696,7.913585,2.401007,11.780912,4.509655,1.533823,0.319490,2.403687,5.782822,8.802045
cuda,XGLMForCausalLM,8,35.371703,29.413702,15.123339,5.438399,20.160567,8.766821,3.208511,0.818777,4.000728,21.985898,14.703204
cuda,XLNetLMHeadModel,8,48.531644,41.319331,19.998645,8.460032,23.576628,13.457824,3.524772,0.846382,7.598473,12.754892
cuda,YituTechConvBert,16,25.233525,20.449724,9.670204,4.151240,14.559061,5.386200,2.482274,0.480329,6.801011,8.590191,16.013583
