dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,4.284704
cuda,beit_base_patch16_224,64,2.829410
cuda,botnet26t_256,128,2.170020
cuda,cait_m36_384,4,10.269751
cuda,coat_lite_mini,128,2.383733
cuda,convit_base,64,2.632641
cuda,convmixer_768_32,32,1.560762
cuda,convnext_base,64,4.377428
cuda,crossvit_9_240,128,4.208521
cuda,cspdarknet53,64,4.118654
cuda,deit_base_distilled_patch16_224,64,2.355904
cuda,dla102,128,4.753778
cuda,dm_nfnet_f0,128,4.285731
cuda,dpn107,32,7.297169
cuda,eca_botnext26ts_256,128,2.384045
cuda,eca_halonext26ts,128,2.376187
cuda,ese_vovnet19b_dw,128,1.764138
cuda,fbnetc_100,128,3.914318
cuda,fbnetv3_b,128,6.586560
cuda,gernet_l,128,3.692535
cuda,ghostnet_100,128,3.817433
cuda,gluon_inception_v3,128,4.168076
cuda,gluon_xception65,32,5.771447
cuda,gmixer_24_224,128,4.022091
cuda,gmlp_s16_224,128,4.048209
cuda,hrnet_w18,128,7.563157
cuda,inception_v3,128,4.194752
cuda,jx_nest_base,32,4.638164
cuda,lcnet_050,128,1.785045
cuda,mixer_b16_224,128,1.924829
cuda,mixnet_l,128,3.641216
cuda,mnasnet_100,128,3.140587
cuda,mobilenetv2_100,128,3.143115
cuda,mobilenetv3_large_100,128,3.315565
cuda,mobilevit_s,64,3.863548
cuda,nfnet_l0,128,3.705886
cuda,pit_b_224,64,2.522267
cuda,pnasnet5large,16,6.059549
cuda,poolformer_m36,64,4.853813
cuda,regnety_002,128,3.308135
cuda,repvgg_a2,128,3.612112
cuda,res2net101_26w_4s,64,8.320656
cuda,res2net50_14w_8s,128,7.041397
cuda,res2next50,128,4.004795
cuda,resmlp_12_224,128,1.850350
cuda,resnest101e,64,8.379607
cuda,rexnet_100,128,4.062949
cuda,sebotnet33ts_256,64,2.018844
cuda,selecsls42b,128,1.950523
cuda,spnasnet_100,128,3.841563
cuda,swin_base_patch4_window7_224,64,6.071069
cuda,swsl_resnext101_32x16d,32,4.796079
cuda,tf_efficientnet_b0,128,3.795400
cuda,tf_mixnet_l,128,4.250679
cuda,tinynet_a,128,4.402796
cuda,tnt_s_patch16_224,128,5.458762
cuda,twins_pcpvt_base,64,7.682646
cuda,visformer_small,128,1.933348
cuda,vit_base_patch16_224,64,2.199432
cuda,volo_d1_224,64,3.773147
cuda,xcit_large_24_p8_224,5,9.901942
