dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9957,386.5511,1.4408,0.9542
cuda,AlbertForQuestionAnswering,4,0.9962,383.9719,1.4585,0.9533
cuda,AllenaiLongformerBase,4,0.9778,254.6876,8.3008,0.7542
cuda,BartForCausalLM,4,0.9868,125.5958,3.0813,0.9360
cuda,BartForConditionalGeneration,2,0.9835,153.1970,7.5863,0.8941
cuda,BertForMaskedLM,16,0.9809,137.4906,3.0987,0.9721
cuda,BertForQuestionAnswering,16,0.9783,113.7711,3.0540,0.9632
cuda,BlenderbotForCausalLM,4,0.8875,106.1538,6.2381,0.8024
cuda,BlenderbotSmallForCausalLM,64,0.9746,67.2523,2.0289,0.9796
cuda,BlenderbotSmallForConditionalGeneration,64,0.9677,125.5122,5.0250,0.9766
cuda,CamemBert,16,0.9822,138.6501,3.1304,0.9722
cuda,DebertaForMaskedLM,4,0.8615,73.5311,6.8457,0.9004
cuda,DebertaForQuestionAnswering,8,0.9713,84.6199,6.4556,0.9023
cuda,DebertaV2ForMaskedLM,1,0.8120,109.2053,11.6495,0.7716
cuda,DebertaV2ForQuestionAnswering,2,0.8375,127.5454,11.7055,0.7646
cuda,DistilBertForMaskedLM,128,0.9895,123.6049,1.4529,0.9823
cuda,DistilBertForQuestionAnswering,256,0.9920,145.4839,1.5176,0.9811
cuda,DistillGPT2,16,0.9952,121.2624,1.4233,0.9783
cuda,ElectraForCausalLM,32,0.9750,110.3170,3.2985,0.9953
cuda,ElectraForQuestionAnswering,64,0.9782,130.4220,3.2638,0.9962
cuda,GPT2ForSequenceClassification,4,0.9749,105.9661,2.9170,0.9575
cuda,GoogleFnet,16,0.9852,103.3828,1.7860,0.9733
cuda,LayoutLMForMaskedLM,16,0.9820,140.0250,3.4635,0.9714
cuda,LayoutLMForSequenceClassification,16,0.9783,116.4277,3.4451,0.9621
cuda,M2M100ForConditionalGeneration,16,1.0202,116.1772,7.6211,0.8616
cuda,MBartForCausalLM,4,0.9860,126.6682,3.3264,0.9361
cuda,MBartForConditionalGeneration,2,0.9852,153.5716,7.6600,0.8943
cuda,MT5ForConditionalGeneration,16,0.9960,90.0805,4.8132,0.9165
cuda,MegatronBertForCausalLM,4,0.9798,105.0951,6.6805,0.8883
cuda,MegatronBertForQuestionAnswering,8,0.9760,177.6389,6.3764,0.9263
cuda,MobileBertForMaskedLM,64,1.0182,147.3281,6.8728,1.0000
cuda,MobileBertForQuestionAnswering,128,1.0181,139.2023,6.9537,1.0000
cuda,OPTForCausalLM,2,0.9846,172.2202,2.9128,0.9685
cuda,PLBartForCausalLM,8,0.9880,117.0088,1.5644,0.9790
cuda,PLBartForConditionalGeneration,4,0.9747,125.6124,3.9474,0.9635
cuda,PegasusForCausalLM,32,0.9806,87.8170,3.2263,0.8824
cuda,PegasusForConditionalGeneration,32,0.9984,173.1305,3.4928,0.9979
cuda,RobertaForCausalLM,16,0.9822,145.8523,3.1571,0.9721
cuda,RobertaForQuestionAnswering,16,0.9783,114.3523,3.2602,0.9632
cuda,Speech2Text2ForCausalLM,256,0.9796,66.0368,1.6218,0.9535
cuda,T5ForConditionalGeneration,4,0.9856,106.5408,3.6021,0.9783
cuda,T5Small,4,0.9825,108.4257,3.4392,0.9783
cuda,TrOCRForCausalLM,32,0.9918,169.1904,3.1752,0.9543
cuda,XGLMForCausalLM,8,0.9712,82.9985,5.8657,0.8178
cuda,XLNetLMHeadModel,8,0.9914,380.4698,7.5152,0.9348
cuda,YituTechConvBert,16,0.9775,160.2277,4.5483,0.9673
