dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.8812,303.0269,8.4392,0.7078
cuda,AlbertForQuestionAnswering,4,0.8817,300.4036,8.4779,0.7177
cuda,AllenaiLongformerBase,4,0.6793,291.0396,27.8380,0.7352
cuda,BartForCausalLM,4,0.9444,119.7776,10.1021,0.8420
cuda,BartForConditionalGeneration,2,0.9592,143.9557,26.1604,0.8216
cuda,BertForMaskedLM,16,0.9388,117.8129,10.5456,0.8893
cuda,BertForQuestionAnswering,16,0.9447,101.3362,10.7662,0.8870
cuda,BlenderbotForCausalLM,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.8987,66.5860,6.9195,0.7965
cuda,BlenderbotSmallForConditionalGeneration,64,0.8873,127.6192,17.2618,0.8698
cuda,CamemBert,16,0.9469,125.7437,10.5609,0.8868
cuda,DebertaForMaskedLM,4,0.6488,95.6514,15.6593,0.8674
cuda,DebertaForQuestionAnswering,8,0.8019,94.5144,15.4660,0.9698
cuda,DebertaV2ForMaskedLM,1,0.6255,165.1728,28.5460,0.7568
cuda,DebertaV2ForQuestionAnswering,2,0.6252,172.5919,29.1273,0.7632
cuda,DistilBertForMaskedLM,128,0.9372,90.0699,5.2404,0.8294
cuda,DistilBertForQuestionAnswering,256,0.9754,105.7785,5.3083,0.9306
cuda,DistillGPT2,16,0.9572,110.5094,4.7599,0.8429
cuda,ElectraForCausalLM,32,0.9123,97.7308,10.7368,0.8422
cuda,ElectraForQuestionAnswering,64,0.9572,121.4557,10.4949,0.9489
cuda,GPT2ForSequenceClassification,4,0.9400,98.0477,9.8688,0.8684
cuda,LayoutLMForMaskedLM,16,0.9439,119.7941,11.0514,0.8885
cuda,LayoutLMForSequenceClassification,16,0.9489,103.8098,10.9270,0.8864
cuda,M2M100ForConditionalGeneration,16,0.8123,134.2031,25.2928,0.7943
cuda,MBartForCausalLM,4,0.9421,119.9626,10.1634,0.8421
cuda,MBartForConditionalGeneration,2,0.9577,144.5327,26.4965,0.8183
cuda,MT5ForConditionalGeneration,16,0.8301,115.5462,17.0705,0.7790
cuda,MegatronBertForCausalLM,4,0.8505,104.6908,20.8344,0.7664
cuda,MegatronBertForQuestionAnswering,8,0.9371,151.7383,20.8829,0.8293
cuda,MobileBertForMaskedLM,64,0.8135,262.3834,35.3049,0.8767
cuda,MobileBertForQuestionAnswering,128,0.8155,212.1097,34.8937,1.0063
cuda,OPTForCausalLM,2,0.9171,182.4343,10.0240,0.8922
cuda,PLBartForCausalLM,8,0.9506,120.2854,5.3402,0.8468
cuda,PLBartForConditionalGeneration,4,0.9237,127.3424,13.6675,0.8940
cuda,PegasusForCausalLM,32,0.9213,76.3462,10.0773,0.8068
cuda,PegasusForConditionalGeneration,32,0.9565,145.3852,20.0279,0.9449
cuda,RobertaForCausalLM,16,0.9441,122.2881,10.6090,0.8892
cuda,RobertaForQuestionAnswering,16,0.9501,101.3262,10.6845,0.8862
cuda,Speech2Text2ForCausalLM,256,0.9159,58.8360,5.2337,0.8107
cuda,T5ForConditionalGeneration,4,0.8451,121.2392,11.7761,0.9264
cuda,T5Small,4,0.8466,120.8453,11.6119,0.9264
cuda,TrOCRForCausalLM,32,0.9441,145.9514,10.2375,0.8311
cuda,XGLMForCausalLM,8,0.7924,130.0424,20.8049,0.7534
cuda,XLNetLMHeadModel,8,0.9512,294.5091,27.1435,0.8982
cuda,YituTechConvBert,16,0.9361,144.5233,15.6614,0.8779
