dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,0.9956,387.6415,5.8638,0.8831
cuda,AlbertForQuestionAnswering,4,0.9986,382.9673,5.8715,0.8985
cuda,AllenaiLongformerBase,4,0.5916,421.2851,26.4219,0.7150
cuda,BartForCausalLM,4,0.9391,131.9796,8.0905,0.8537
cuda,BartForConditionalGeneration,2,0.9725,155.7040,20.8738,0.7989
cuda,BertForMaskedLM,16,0.9448,142.8843,8.2396,0.9147
cuda,BertForQuestionAnswering,16,0.9591,116.1572,8.2687,0.9004
cuda,BlenderbotForCausalLM,4,0.8765,107.7724,15.9666,0.8032
cuda,BlenderbotSmallForCausalLM,64,0.8826,74.1322,5.3574,0.8231
cuda,BlenderbotSmallForConditionalGeneration,64,0.9055,134.1306,13.3800,0.8766
cuda,CamemBert,16,0.9446,144.3128,8.3406,0.9129
cuda,DebertaForMaskedLM,4,0.7347,82.4843,13.8514,0.8876
cuda,DebertaForQuestionAnswering,8,0.9281,88.5550,13.7350,0.9656
cuda,DebertaV2ForMaskedLM,1,0.6625,135.1660,23.6402,0.7716
cuda,DebertaV2ForQuestionAnswering,2,0.7600,140.6160,23.8088,0.7626
cuda,DistilBertForMaskedLM,128,0.9315,131.7918,4.4543,0.8691
cuda,DistilBertForQuestionAnswering,256,0.9845,147.0016,4.2157,0.9420
cuda,DistillGPT2,16,0.9376,129.0091,4.2910,0.8663
cuda,ElectraForCausalLM,32,0.9116,117.6495,8.4464,0.8790
cuda,ElectraForQuestionAnswering,64,0.9648,131.0743,8.2331,0.9488
cuda,GPT2ForSequenceClassification,4,0.9523,107.6723,7.5716,0.8715
cuda,GoogleFnet,16,0.9804,103.9518,4.4039,0.9733
cuda,LayoutLMForMaskedLM,16,0.9464,145.4994,8.7271,0.9141
cuda,LayoutLMForSequenceClassification,16,0.9601,118.9947,8.6187,0.8997
cuda,M2M100ForConditionalGeneration,16,0.9766,121.8635,20.1670,0.8041
cuda,MBartForCausalLM,4,0.9405,131.6803,7.9976,0.8539
cuda,MBartForConditionalGeneration,2,0.9718,155.6531,20.4335,0.7987
cuda,MT5ForConditionalGeneration,16,0.8783,102.9840,15.0470,0.8056
cuda,MegatronBertForCausalLM,4,0.9709,106.0036,16.4833,0.8011
cuda,MegatronBertForQuestionAnswering,8,0.9550,181.7297,16.4666,0.8543
cuda,MobileBertForMaskedLM,64,0.9254,161.9162,24.4029,0.8257
cuda,MobileBertForQuestionAnswering,128,0.9849,146.9913,24.4791,0.9908
cuda,OPTForCausalLM,2,0.9114,183.8141,8.1244,0.8967
cuda,PLBartForCausalLM,8,0.9347,126.9598,4.2909,0.8710
cuda,PLBartForConditionalGeneration,4,0.9287,132.2807,10.4188,0.9012
cuda,PegasusForCausalLM,32,0.9275,92.8753,8.1465,0.8171
cuda,PegasusForConditionalGeneration,32,0.9809,176.2584,14.2555,0.9483
cuda,RobertaForCausalLM,16,0.9481,151.2198,8.2659,0.9145
cuda,RobertaForQuestionAnswering,16,0.9598,116.5686,8.2514,0.9004
cuda,Speech2Text2ForCausalLM,256,0.9026,71.7332,4.1415,0.8360
cuda,T5ForConditionalGeneration,4,0.8150,128.8773,10.3781,0.9389
cuda,T5Small,4,0.8127,129.0931,10.4548,0.9389
cuda,TrOCRForCausalLM,32,0.9386,178.4954,8.0337,0.8385
cuda,XGLMForCausalLM,8,0.9143,89.1808,16.3011,0.7588
cuda,XLNetLMHeadModel,8,0.9524,396.0486,23.9429,0.9118
cuda,YituTechConvBert,16,0.9409,166.6406,12.5914,0.9073
