dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,1.3121,172.7505,43.5210,0.9138
cuda,beit_base_patch16_224,64,1.0943,118.9688,23.8105,1.1929
cuda,botnet26t_256,128,1.2552,119.4918,32.2602,0.8605
cuda,cait_m36_384,4,1.0923,199.5666,82.3003,1.0800
cuda,coat_lite_mini,128,1.4070,136.0862,55.5426,0.9485
cuda,convit_base,64,1.4399,137.1117,30.6159,0.7405
cuda,convmixer_768_32,32,1.0665,342.0127,26.2332,0.9848
cuda,convnext_base,64,1.0735,245.6333,44.1804,1.0452
cuda,crossvit_9_240,128,1.3186,74.8424,44.0705,0.6932
cuda,cspdarknet53,64,1.2084,103.3703,29.8174,0.9463
cuda,deit_base_distilled_patch16_224,64,1.0772,112.9648,22.5835,1.1969
cuda,dla102,128,1.3581,198.4730,42.8803,0.9639
cuda,dm_nfnet_f0,128,1.4236,144.2822,29.9602,1.0328
cuda,dpn107,32,1.1670,157.3414,54.2740,0.9066
cuda,eca_botnext26ts_256,128,1.2556,128.0221,37.3643,1.1387
cuda,eca_halonext26ts,128,1.2493,133.4743,51.2527,1.1383
cuda,ese_vovnet19b_dw,128,1.2353,78.8812,15.5920,0.9518
cuda,fbnetc_100,128,1.2247,97.3246,28.7101,0.9058
cuda,fbnetv3_b,128,1.2608,124.5347,48.3066,0.9951
cuda,gernet_l,128,1.0601,151.7985,23.9970,0.7913
cuda,ghostnet_100,128,1.7861,64.2929,44.0320,0.9872
cuda,gluon_inception_v3,128,1.3098,172.9433,44.0827,0.9138
cuda,gluon_xception65,32,1.0548,173.4100,51.5209,0.9410
cuda,gmixer_24_224,128,1.2439,118.1941,36.5478,1.5798
cuda,gmlp_s16_224,128,1.2591,121.0559,39.4251,1.0086
cuda,hrnet_w18,128,1.3116,317.5934,126.6800,0.9393
cuda,inception_v3,128,1.3099,172.8970,44.0708,0.9138
cuda,jx_nest_base,32,1.1875,102.5393,56.5759,1.0536
cuda,lcnet_050,128,1.5956,22.9267,16.9072,0.9119
cuda,mixer_b16_224,128,1.0797,149.2414,21.5483,1.4678
cuda,mixnet_l,128,1.1624,209.6264,39.5655,0.9067
cuda,mnasnet_100,128,1.2448,76.6637,23.6860,0.9331
cuda,mobilenetv2_100,128,1.3065,72.2404,24.3398,1.1759
cuda,mobilenetv3_large_100,128,1.3086,63.0863,25.7660,0.9424
cuda,mobilevit_s,64,1.1620,98.7169,89.3652,1.1804
cuda,nfnet_l0,128,1.3713,128.1423,28.3995,1.2991
cuda,pit_b_224,64,1.1691,135.6950,24.1957,0.9579
cuda,pnasnet5large,16,1.1531,250.6615,86.3876,1.2355
cuda,poolformer_m36,64,1.1077,157.9065,52.5506,1.4674
cuda,regnety_002,128,1.2677,36.3442,23.1176,0.8632
cuda,repvgg_a2,128,1.1537,106.3472,24.2594,0.7654
cuda,res2net101_26w_4s,64,1.1619,131.2321,75.5194,0.9297
cuda,res2net50_14w_8s,128,1.3136,174.5822,68.7516,0.8824
cuda,res2next50,128,1.2832,160.9723,38.1126,0.9075
cuda,resmlp_12_224,128,0.9153,78.0597,22.4414,1.2271
cuda,resnest101e,64,1.2609,182.5371,75.9548,1.0037
cuda,rexnet_100,128,1.1908,97.3082,34.6592,1.2642
cuda,sebotnet33ts_256,64,1.2635,88.3925,42.1456,0.9925
cuda,selecsls42b,128,1.2373,72.3650,20.7870,0.9028
cuda,spnasnet_100,128,1.2118,84.0193,27.9593,0.9386
cuda,swin_base_patch4_window7_224,64,1.1285,210.3690,84.1721,1.0974
cuda,swsl_resnext101_32x16d,32,1.0688,205.2891,41.9943,0.8671
cuda,tf_efficientnet_b0,128,1.2413,105.3417,29.4656,1.2070
cuda,tf_mixnet_l,128,1.1747,215.3007,40.3434,0.9767
cuda,tinynet_a,128,1.1660,91.2251,33.3972,1.3533
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,64,1.2069,114.2566,83.3958,1.3065
cuda,visformer_small,128,1.0128,126.5935,27.5272,1.1931
cuda,vit_base_patch16_224,64,1.0670,112.9963,21.9219,1.2037
cuda,volo_d1_224,64,1.3639,112.7535,41.8222,1.1239
cuda,xcit_large_24_p8_224,5,1.3059,104.6854,84.6057,1.0196
