dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForQuestionAnswering,4,12.531657,10.886765,4.580355,1.675898,8.955112,3.324079,1.157129,0.148261,1.073867,1.062005,7.207679
cuda,BartForCausalLM,4,17.427005,14.110740,7.102378,2.043308,10.213203,3.699903,1.582690,0.281794,1.381256,1.559694,6.644892
cuda,BartForConditionalGeneration,2,42.515070,34.558005,17.467859,6.137131,22.111107,9.615704,3.955605,1.068549,0.825166,1.279830,11.879338
cuda,BertForMaskedLM,16,17.244797,13.922509,6.504449,2.316814,9.206370,3.851061,1.627520,0.292094,1.976263,2.106333,7.107505
cuda,BertForQuestionAnswering,16,17.436546,14.128636,6.679237,2.312234,9.353012,3.837759,1.623749,0.283813,1.538476,1.653639,6.634787
cuda,BlenderbotSmallForCausalLM,64,10.977401,8.964613,4.364825,1.508448,6.382533,2.260916,1.085276,0.174019,2.434078,6.033523,2.117112
cuda,BlenderbotSmallForConditionalGeneration,64,27.510760,22.335891,10.950738,3.413336,14.977156,6.867943,2.674747,0.587379,2.074255,1.834214,9.711374
cuda,CamemBert,16,16.974631,13.620209,6.511913,2.331636,9.162356,3.890549,1.630030,0.292162,0.812770,0.946687,5.907488
cuda,DebertaForMaskedLM,4,29.400356,22.830433,14.084106,2.700736,17.709934,4.731492,2.266897,0.364531,14.833334,2.386395,21.420304
cuda,DebertaForQuestionAnswering,8,29.494434,22.854104,14.025575,2.686677,17.736371,4.736423,2.275682,0.364734,16.119577,2.788742,22.777908
cuda,DebertaV2ForMaskedLM,1,43.692310,31.708669,17.294776,3.955165,20.055722,5.686232,2.901069,0.630871,33.311332,1.749346,40.464342
cuda,DistilBertForMaskedLM,128,10.075497,8.683397,4.933317,1.090250,6.786130,2.094943,0.875381,0.131545,1.556525,3.761693,4.558344
cuda,DistilBertForQuestionAnswering,256,10.330022,8.926698,5.097887,1.093607,7.042461,2.125202,0.880503,0.127656,0.922462,2.933451,4.021523
cuda,DistillGPT2,16,11.063818,9.687629,6.201828,1.128622,8.036500,1.928583,1.052158,0.114782,1.578608,2.869199,4.593913
cuda,ElectraForCausalLM,32,18.486008,15.204962,8.077638,2.286591,13.880583,3.972234,1.690252,0.295721,3.622805,3.838898,11.828888
cuda,ElectraForQuestionAnswering,64,16.991882,13.746658,6.649037,2.295223,11.624030,3.845689,1.634678,0.297379,2.393175,2.362710,9.777351
cuda,GPT2ForSequenceClassification,4,17.614014,14.740461,8.294514,2.221660,10.697537,3.897865,1.547051,0.256460,1.291986,2.472929,6.017014
cuda,GoogleFnet,16,12.245673,10.483319,7.001080,1.431065,10.559731,1.933391,0.860317,0.133992,4.138052,1.774955,9.209951
cuda,LayoutLMForMaskedLM,16,18.658578,15.142820,7.916946,2.163303,10.778129,3.939417,1.655809,0.295947,2.023779,2.502197,7.354465
cuda,LayoutLMForSequenceClassification,16,19.548057,15.848257,8.363640,2.198758,12.821885,4.744260,1.956739,0.289875,7.169491,7.693439,14.147006
cuda,M2M100ForConditionalGeneration,16,40.654681,32.908214,15.605261,5.100944,21.751721,8.822591,3.968905,0.789164,3.826319,8.686462,15.610564
cuda,MBartForCausalLM,4,18.357480,15.381777,8.682148,2.061535,11.781846,3.733651,1.605712,0.278914,1.409001,1.309881,6.676785
cuda,MBartForConditionalGeneration,2,41.938814,34.115862,16.825980,6.247267,21.443282,9.695938,3.986602,1.093953,0.885000,0.525955,12.028524
cuda,MT5ForConditionalGeneration,16,27.997095,23.105143,10.753450,3.637349,15.171024,6.506956,2.476165,0.538796,4.060431,22.420769,12.303632
cuda,MegatronBertForCausalLM,4,32.735834,26.121875,12.180104,4.454252,16.528176,8.252005,3.249616,0.733928,1.179946,1.668317,10.462247
cuda,MegatronBertForQuestionAnswering,8,32.760275,26.248030,12.173744,4.389508,16.589140,8.152674,3.156984,0.737659,1.590789,1.524800,10.870839
cuda,MobileBertForMaskedLM,64,36.467186,29.366683,8.254715,5.561966,21.132811,10.264484,4.702034,2.530859,3.064482,3.723643,21.841053
cuda,MobileBertForQuestionAnswering,128,36.348563,29.272637,8.170467,5.471714,20.704935,10.030132,4.603081,2.483895,2.701776,2.482656,21.041193
cuda,OPTForCausalLM,2,16.632766,13.862132,7.277522,1.979477,10.161301,3.839699,1.895173,0.276774,1.468408,1.826287,6.434145
cuda,PLBartForCausalLM,8,10.372160,8.838947,5.168650,1.083555,7.278581,1.825613,1.064837,0.133430,1.107538,1.247632,4.357463
cuda,PLBartForConditionalGeneration,4,21.790003,17.940106,8.814763,2.777792,12.857935,5.228979,2.156345,0.419777,1.637599,1.696585,8.604409
cuda,PegasusForCausalLM,32,16.940866,13.907733,7.428234,1.989176,10.858299,3.683581,1.597562,0.280169,1.690866,1.560374,7.219159
cuda,PegasusForConditionalGeneration,32,31.170154,27.551080,11.586125,3.943029,17.930877,7.893056,3.333196,0.717070,2.024162,0.645513,12.539908
cuda,RobertaForCausalLM,16,16.854494,13.644451,6.618774,2.312139,9.022478,3.875767,1.648800,0.290081,0.896426,1.333033,5.724541
cuda,RobertaForQuestionAnswering,16,16.932180,13.673246,6.639158,2.306967,9.014099,3.803576,1.624097,0.293268,0.551078,0.614862,5.344381
cuda,Speech2Text2ForCausalLM,256,10.431648,8.874449,5.601736,0.944457,8.225050,1.681251,0.983062,0.127276,1.353856,1.088946,4.976482
cuda,T5ForConditionalGeneration,4,20.434114,16.964733,8.340226,2.259501,11.649694,4.654204,1.797591,0.334355,2.466585,7.063141,8.163491
cuda,T5Small,4,20.510332,17.036998,8.359271,2.272560,11.682758,4.684177,1.804588,0.339434,2.358682,7.077771,8.083265
cuda,XGLMForCausalLM,8,34.419440,28.546175,14.525373,4.719972,20.137085,8.970039,3.322245,0.796355,3.929739,21.632481,14.487998
cuda,XLNetLMHeadModel,8,47.300991,40.261036,19.341109,7.659654,23.845805,13.350724,3.779197,0.925302,10.204453,12.837794
cuda,YituTechConvBert,16,24.950765,20.328558,9.819142,3.895442,15.126231,6.140865,2.415864,0.499834,5.961804,8.842815,15.334770
