dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,adv_inception_v3,128,0.9958,163.4604,4.2480,0.9690
cuda,beit_base_patch16_224,64,0.9951,136.5950,2.7228,0.9535
cuda,botnet26t_256,128,0.9755,106.5743,2.2838,0.9771
cuda,cait_m36_384,4,0.9854,171.2065,10.6281,0.9224
cuda,coat_lite_mini,128,0.9960,116.9103,2.2897,1.0269
cuda,convit_base,64,0.9967,182.6973,2.6862,0.9676
cuda,convmixer_768_32,32,0.9996,297.2444,1.6088,0.9972
cuda,convnext_base,64,0.9911,123.2514,4.3360,0.9644
cuda,crossvit_9_240,128,0.9929,110.8016,4.1261,0.9799
cuda,cspdarknet53,64,0.9353,97.2756,4.1174,0.9724
cuda,deit_base_distilled_patch16_224,64,0.9941,95.3722,2.2419,0.9501
cuda,dla102,128,0.9952,179.9171,4.6154,0.9563
cuda,dm_nfnet_f0,128,0.9942,132.4609,4.0391,0.9380
cuda,dpn107,32,0.9197,115.8606,7.1255,0.9432
cuda,eca_botnext26ts_256,128,0.9764,112.7687,2.2333,0.9836
cuda,eca_halonext26ts,128,0.9769,116.7211,2.4313,0.9835
cuda,ese_vovnet19b_dw,128,0.9644,68.4058,1.6373,0.9808
cuda,fbnetc_100,128,0.9459,88.8588,3.7727,0.9757
cuda,fbnetv3_b,128,0.9451,122.8103,6.6094,0.9812
cuda,gernet_l,128,0.9386,80.6487,3.5784,0.9525
cuda,ghostnet_100,128,0.9908,93.9467,5.6397,0.9674
cuda,gluon_inception_v3,128,0.9946,164.1563,4.0818,0.9690
cuda,gluon_xception65,32,0.9880,99.5803,5.7988,0.9746
cuda,gmixer_24_224,128,0.9928,121.4001,3.8935,0.9815
cuda,gmlp_s16_224,128,0.9932,137.7760,3.8469,0.9875
cuda,hrnet_w18,128,0.9990,292.4692,7.8251,0.9912
cuda,inception_v3,128,0.9945,162.8542,4.1305,0.9690
cuda,jx_nest_base,32,0.9921,120.7157,4.3716,0.9679
cuda,lcnet_050,128,0.9357,32.7707,1.7448,0.9382
cuda,mixer_b16_224,128,0.9954,119.4670,1.8221,0.9677
cuda,mixnet_l,128,0.9750,188.5213,5.7704,0.9871
cuda,mnasnet_100,128,0.9457,71.0196,3.0797,0.9730
cuda,mobilenetv2_100,128,0.9449,68.4469,3.1078,0.9847
cuda,mobilenetv3_large_100,128,0.9476,66.7720,3.1293,0.9725
cuda,mobilevit_s,64,0.9661,91.1075,3.8398,0.9895
cuda,nfnet_l0,128,0.9933,106.6882,3.6893,0.9665
cuda,pit_b_224,64,0.9956,155.6616,2.3869,0.9701
cuda,pnasnet5large,16,0.9989,206.3394,5.8001,1.0600
cuda,poolformer_m36,64,0.9929,150.6509,4.6833,0.9774
cuda,regnety_002,128,0.9602,44.3547,3.2889,0.9438
cuda,repvgg_a2,128,0.9359,80.5271,3.5229,0.9423
cuda,res2net101_26w_4s,64,0.9889,102.4114,8.0623,0.9630
cuda,res2net50_14w_8s,128,0.9916,147.6275,6.9876,0.9801
cuda,res2next50,128,0.9937,140.1557,3.8603,0.9794
cuda,resmlp_12_224,128,0.9936,68.9539,1.6801,0.9692
cuda,resnest101e,64,0.9908,167.5090,8.2276,0.9759
cuda,rexnet_100,128,0.9563,92.0857,4.0653,0.9858
cuda,sebotnet33ts_256,64,0.9666,83.5000,2.0181,0.9928
cuda,selecsls42b,128,0.9921,63.4493,1.7489,0.9474
cuda,spnasnet_100,128,0.9383,77.5772,3.7833,0.9754
cuda,swin_base_patch4_window7_224,64,0.9928,149.1806,5.9936,0.9637
cuda,swsl_resnext101_32x16d,32,0.9878,121.2599,4.6294,0.9143
cuda,tf_efficientnet_b0,128,0.9583,91.6116,3.7468,0.9842
cuda,tf_mixnet_l,128,0.9760,196.5001,6.1927,0.9878
cuda,tinynet_a,128,0.9420,76.3228,4.3324,0.9840
cuda,tnt_s_patch16_224,128,0.9976,365.9882,5.2524,0.9875
cuda,twins_pcpvt_base,64,0.9909,121.6212,7.5617,0.9735
cuda,visformer_small,128,0.9954,98.9735,1.8360,0.9667
cuda,vit_base_patch16_224,64,0.9955,121.8291,2.0646,0.9514
cuda,volo_d1_224,64,0.9945,135.9421,3.3827,0.9815
cuda,xcit_large_24_p8_224,5,0.9423,130.4023,9.3086,0.8943
