dev,name,batch_size,speedup
cuda,BERT_pytorch,16,3.0658
cuda,Background_Matting,4,1.2619
cuda,LearningToPaint,96,1.8082
cuda,Super_SloMo,6,1.2480
cuda,alexnet,128,1.1306
cuda,attention_is_all_you_need_pytorch,256,1.3378
cuda,dcgan,32,2.5256
cuda,demucs,0,0.0000
cuda,densenet121,4,4.7865
cuda,dlrm,0,0.0000
cuda,drq,1,2.3228
cuda,fastNLP_Bert,6,1.3510
cuda,hf_Albert,8,1.6383
cuda,hf_Bart,4,1.5447
cuda,hf_Bert,4,1.8163
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,0,0.0000
cuda,hf_GPT2,4,1.5156
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,2.6156
cuda,mobilenet_v2,96,1.6301
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,2.7394
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.8205
cuda,pytorch_CycleGAN_and_pix2pix,1,2.3025
cuda,pytorch_stargan,16,1.3413
cuda,pytorch_struct,0,0.0000
cuda,pytorch_unet,1,1.5045
cuda,resnet18,16,2.6231
cuda,resnet50,32,1.8849
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,3.4888
cuda,shufflenet_v2_x1_0,128,1.8123
cuda,soft_actor_critic,256,1.3707
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,2.0281
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,0,0.0000
cuda,timm_nfnet,128,1.4662
cuda,timm_regnet,32,1.2958
cuda,timm_resnest,32,1.9378
cuda,timm_vision_transformer,8,2.3611
cuda,timm_vovnet,32,1.5837
cuda,tts_angular,0,0.0000
cuda,vgg16,64,1.2140
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
