dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.3990
cuda,beit_base_patch16_224,64,0.8815
cuda,botnet26t_256,128,1.3702
cuda,cait_m36_384,0,0.0000
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,32,1.2223
cuda,convmixer_768_32,32,1.0859
cuda,convnext_base,0,0.0000
cuda,crossvit_9_240,64,1.3080
cuda,cspdarknet53,64,1.3596
cuda,deit_base_distilled_patch16_224,64,1.0714
cuda,densenet121,64,1.2474
cuda,dla102,64,1.2482
cuda,dm_nfnet_f0,128,1.3962
cuda,dpn107,32,1.3507
cuda,eca_botnext26ts_256,0,0.0000
cuda,eca_halonext26ts,0,0.0000
cuda,ecaresnet101d,64,1.0154
cuda,ese_vovnet19b_dw,128,1.3362
cuda,fbnetc_100,128,1.3974
cuda,fbnetv3_b,128,1.1239
cuda,gernet_l,128,1.1483
cuda,ghostnet_100,128,1.7760
cuda,gluon_inception_v3,128,1.3998
cuda,gluon_senet154,32,0.9870
cuda,gluon_xception65,32,1.0913
cuda,gmixer_24_224,0,0.0000
cuda,gmlp_s16_224,0,0.0000
cuda,hardcorenas_a,128,1.4034
cuda,hrnet_w18,2,3.8028
cuda,inception_v3,128,1.3984
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.7078
cuda,legacy_senet154,32,0.9860
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,0,0.0000
cuda,mixnet_l,0,0.0000
cuda,mnasnet_100,128,1.4131
cuda,mobilenetv2_100,128,1.3005
cuda,mobilenetv3_large_100,128,1.4826
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,0,0.0000
cuda,nfnet_l0,0,0.0000
cuda,pit_b_224,64,1.2028
cuda,pnasnet5large,0,0.0000
cuda,poolformer_m36,64,1.0819
cuda,regnety_002,128,1.6713
cuda,repvgg_a2,128,1.2899
cuda,res2net101_26w_4s,64,1.1565
cuda,res2net50_14w_8s,2,4.1213
cuda,res2next50,2,4.1290
cuda,resmlp_12_224,128,0.9338
cuda,resnest101e,32,1.2106
cuda,resnet18,128,1.3476
cuda,rexnet_100,0,0.0000
cuda,sebotnet33ts_256,0,0.0000
cuda,selecsls42b,128,1.2729
cuda,spnasnet_100,128,1.3896
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,0,0.0000
cuda,tf_efficientnet_b0,0,0.0000
cuda,tf_mixnet_l,0,0.0000
cuda,tinynet_a,0,0.0000
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,128,1.0160
cuda,vit_base_patch16_224,64,1.0582
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
